size_bytes,lat_typical_us,lat_avg_us,lat_min_us,lat_max_us
2,23.88,24.25,20.68,33.25
4,24.75,25.26,22.31,32.51
8,21.83,22.85,19.58,53.14
16,22.37,23.72,19.83,36.17
32,22.07,22.29,19.6,42.68
64,22.14,22.79,19.63,34.84
128,22.38,22.79,20.32,31.42
256,22.42,23.42,20.15,35.45
512,22.54,23.32,20.24,34.32
1024,22.62,23.48,20.36,35.37
2048,28.49,28.81,25.85,37.85
4096,39.81,40.17,35.4,57.72
8192,65.64,66.44,55.36,86.13
16384,120.16,125.41,66.79,163.56
32768,263.41,258.42,157.69,333.94
65536,540.41,501.77,133.86,971.48
131072,1166.46,1120.7,699.11,1308.47
262144,2326.63,2237.68,1175.9,2509.88
524288,3747.86,3912.13,2140.94,5672.41
1048576,9578.29,9079.12,3876.48,12387.37
2097152,18140.65,17759.5,5032.29,24199.71
4194304,37521.88,36358.89,18583.88,51429.79
8388608,75857.05,72843.16,27814.53,93746.49
